pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,0.231,1.29,,6165.6,,,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.31,93.1846,Gas Giant
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,0.08,1.53,,4684.8142,,,,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,125.321,Gas Giant
14 And b,14 And,1,1,Radial Velocity,2008,185.84,0.0,0.83,,1525.5,,,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],2.63,75.4392,Gas Giant
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.03890112,0.372689,2.773069,,2586.74645,,,,,,0.91,,,,17.9323,Gas Giant
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,0.68,1.66,,565.7374,,,,5750.0,1.13,1.08,0.06,[Fe/H],4.36,21.1397,Gas Giant
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,0.06,1.45,,1373.01872,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,124.953,Gas Giant
18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,0.08,2.6,,3273.5,,,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],2.82,76.222,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,,330.0,,3000.0,,1700.0,K7 V,4060.0,,0.85,,,,139.135,Gas Giant
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,0.042,0.19,,289.2253,,,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],2.42,95.9863,Gas Giant
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,0.09,1.333,,632.46,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,Gas Giant
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,0.29,2.08,,273.32,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,Gas Giant
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,,118.0,,1271.31363,,1450.0,M V,3100.0,0.84,0.17,0.01,[Fe/H],4.5,128.484,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,,84.0,,4131.79,,,M5.5/M6,,,0.19,,,,,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,,52.0,,7786.5,,,M3.5 V,3530.0,,0.4,,,,33.8281,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,,156.0,16.141,4417.837,,,M6,3064.0,0.28,0.11,,,4.59,,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,,15.0,,2383.6,,,M8.5,,,0.02,,,,,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,,55.0,,1589.15,,1250.0,M8,,,0.02,,,,64.308,Gas Giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.33,,,591.16084,,,,29564.0,0.2,0.48,,,5.51,396.332,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,,230.0,,3972.875,,,K7 V,4045.0,,0.6,,,,69.5737,Gas Giant
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.29,0.99,,4392.4106,,,,6331.0,1.41,1.93,0.19,[Fe/H],4.43,44.657,Gas Giant
4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,0.432,0.87,,2256.5,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,73.4603,Gas Giant
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,0.38,1.19,,1233.13,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,90.6545,Gas Giant
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,0.032,2.1,,804.08,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,0.098,3.6,,171.621,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,0.16,11.6,,521.22,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
51 Eri b,51 Eri,3,1,Imaging,2015,,,13.2,,635.66,,700.0,F0 IV,,,1.75,-0.027,[M/H],,29.7575,Gas Giant
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.013,0.0527,,150.009,,,,5758.0,1.18,1.03,0.18,[M/H],4.31,15.4614,Gas Giant
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.0,0.1134,,255.4,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,12.5855,Gas Giant
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.03,0.2373,,51.2,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,12.5855,Gas Giant
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,0.13,5.957,,991.6,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,12.5855,Gas Giant
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.05,0.01544,1.875,7.99,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,12.5855,Super Earth
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.08,0.7708,,47.8,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,12.5855,Gas Giant
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.3,0.073,2.11,,638.8383,,,,4938.0,5.2,1.44,,,3.19,54.6599,Gas Giant
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.12,0.050201,,5.1,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,Neptune-like
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.14,0.2175,,18.2,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,Neptune-like
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.35,0.476,,22.9,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,Neptune-like
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,0.06,1.758,,587.9855,,,,4826.0,4.87,1.34,0.21,[Fe/H],3.19,19.8101,Gas Giant
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,0.08,2.153,,276.5121,,,,4826.0,4.87,1.34,0.21,[Fe/H],3.19,19.8101,Gas Giant
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.3988,0.481,,2357.02728,,,,5495.0,1.89,1.09,,,3.95,17.9011,Gas Giant
75 Cet b,75 Cet,2,1,Radial Velocity,2012,691.9,0.117,2.1,,953.49,,,G3 III,4846.0,10.5,2.49,0.0,[Fe/H],2.63,82.9613,Gas Giant
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.06,0.49,,416.3573,,,,4847.0,10.3,1.44,-0.03,[Fe/H],2.57,162.552,Gas Giant
81 Cet b,81 Cet,1,1,Radial Velocity,2008,952.7,0.206,2.5,,1684.4,,,G5 III,4785.0,11.0,2.4,-0.06,[Fe/H],2.35,101.26,Gas Giant
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.027,0.7,,1017.0,,,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],2.52,44.0304,Gas Giant
AB Aur b,AB Aur,1,1,Imaging,2022,,0.4,93.9,,2860.45566,,,,9770.0,,2.4,,,,162.127,Gas Giant
AB Pic b,AB Pic,1,1,Imaging,2005,,,260.0,,4290.5,,,K2 V,,,,,,,50.0475,Gas Giant
AU Mic b,AU Mic,1,2,Transit,2020,8.4629991,0.186,0.0645,,20.12,,,,,,0.5,,,,9.7221,Neptune-like
AU Mic c,AU Mic,1,2,Transit,2021,18.858991,,0.1101,,9.6,,,,,,0.5,,,,9.7221,Neptune-like
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,0.2,1.3,,2034.112,,,,4095.0,32.35,1.14,-0.71,[Fe/H],1.89,1070.63,Gas Giant
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.29,0.78,,330.5432,,,,4864.0,0.86,0.49,0.17,[Fe/H],4.26,49.352,Gas Giant
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.001,0.576,,337.21763,,,,4649.0,8.95,1.08,-0.22,[Fe/H],2.61,768.045,Gas Giant
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.26,0.539,,352.78,,,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.8,426.42,Gas Giant
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,0.15,1.05,,17668.1697,,,,4259.0,71.02,10.83,-0.79,[Fe/H],1.77,1539.71,Gas Giant
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,0.18,2.01,,3963.17,,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,1539.71,Gas Giant
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,0.21,1.3,,1334.886,,,K5 III,4296.0,17.3,0.8,-0.46,[Fe/H],1.99,1322.51,Gas Giant
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.0,,2.578,22.2481,,,,5766.0,1.08,1.67,-0.15,[Fe/H],4.5,179.461,Neptune-like
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,0.12,0.83,,432.24663,,,K1,5004.0,,0.81,-0.09,[Fe/H],4.22,53.622,Gas Giant
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,0.2,1.0,,289.2253,,,K0 III,4414.0,11.0,0.74,-0.2,[Fe/H],2.24,871.493,Gas Giant
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.0,0.76,1.7,,540.311,,,,4534.0,10.33,1.09,-0.13,[Fe/H],2.48,666.589,Gas Giant
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,0.35,4.2,,508.5,,,K0,4943.0,7.6,1.52,-0.19,[Fe/H],2.85,442.042,Gas Giant
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,0.27,0.78,,228.83645,,,K3,5012.0,,0.91,0.18,[Fe/H],4.09,52.5697,Gas Giant
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,,1662.0,14.684,4767.4261,,1303.0,K0,4993.0,0.8,1.0,,,4.55,44.9543,Gas Giant
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48,0.88,2.06,,1258.60049,,,K0,5000.0,,0.82,-0.09,[Fe/H],4.2,38.0473,Gas Giant
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,723.2,0.39,1.48,,7961.6016,,,G0,5040.0,,0.81,-0.14,[Fe/H],4.25,42.6402,Gas Giant
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,0.0,0.0428,,8.5,,,K7/M0 V,4324.0,,0.7,-0.14,[Fe/H],4.74,20.2695,Neptune-like
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,0.31,0.435,,53.0,,,K7/M0 V,4324.0,,0.7,-0.14,[Fe/H],4.74,20.2695,Gas Giant
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,0.15,0.06,,12.7132,,,,4816.0,0.71,0.5,-0.06,[Fe/H],4.43,41.3342,Neptune-like
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,0.19,0.68,,104.0,,,K3 V,4746.0,,0.74,-0.07,[Fe/H],4.13,41.3342,Gas Giant
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,0.02,0.04,,187.5197,,,,5393.0,0.91,1.47,0.38,[Fe/H],4.69,84.4069,Gas Giant
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.0,0.05,2.36,,206.5895,,,,4550.0,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,Gas Giant
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,0.4,0.3,,15.37,,,,4550.0,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,Neptune-like
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,0.21,1.66,,3108.3774,,,,4545.0,19.17,2.12,-0.08,[Fe/H],2.2,925.214,Gas Giant
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.6,0.54,1.34,,1620.9,,,K5 V,4714.0,0.69,0.74,-0.03,[Fe/H],4.26,34.4603,Gas Giant
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,,0.0185,,3.95,8.6,464.0,M5.0 V,3130.0,0.17,0.16,0.13,[Fe/H],4.93,8.60715,Super Earth
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,,2.6,,3337.1,,370.0,,580.5,,0.02,,,4.72,,Gas Giant
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,,200.0,20.849,2479.06157,,1800.0,M9-L1,2320.0,0.24,0.01,,,3.85,,Gas Giant
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,,210.0,,3994.486,,,M3.5,,,0.35,,,,190.374,Gas Giant
CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.9891,0.25,,,3686.828,,,K7,,,0.9,,,,157.998,Gas Giant
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,,7506.0,12.442,2002.31896,,434.0,M3 V,3406.0,0.39,0.37,0.0,[Fe/H],4.83,10.8864,Gas Giant
CT Cha b,CT Cha,1,1,Imaging,2007,,,440.0,24.66,5403.0,,2600.0,,,,,,,,190.72,Gas Giant
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,0.0,,16.7,327.35,,1898.0,G0 V,5950.0,1.11,0.95,-0.3,[M/H],4.25,787.909,Gas Giant
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.53,0.1055,10.87,874.0,,600.0,K1 V,5075.0,0.79,0.89,0.26,[Fe/H],4.65,338.386,Gas Giant
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,0.0,0.0436,16.03,740.51,,1657.0,F6 V,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,655.037,Gas Giant
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,0.07,0.04016,16.14,291.438,,1442.0,,5675.0,1.12,1.08,0.16,[Fe/H],4.38,1126.37,Gas Giant
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.0,0.051,9.92,415.704,,1700.0,G0 V,5945.0,1.01,1.09,0.01,[Fe/H],4.46,1148.93,Gas Giant
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,0.0,0.027,12.22,2415.4,,1952.0,F9 V,6035.0,1.21,1.13,0.05,[Fe/H],4.35,1744.6,Gas Giant
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,0.33,0.0618,13.11,170.032,,,G5 V,5650.0,1.19,1.1,0.19,[M/H],4.36,732.409,Gas Giant
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,0.0,0.0461,11.43,772.29,,1626.0,G2 V,5740.0,1.59,1.04,0.0,[Fe/H],4.4,1176.12,Gas Giant
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,0.08,0.0295,14.68,1102.82,,1550.0,G9 V,5440.0,1.0,0.95,-0.1,[Fe/H],4.4,764.889,Gas Giant
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,0.047,0.0518,14.46,352.78,,2000.0,F9 V,6090.0,1.65,1.21,-0.02,[Fe/H],4.07,790.663,Gas Giant
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,0.0143,0.02798,16.432,1102.82,,,,5625.0,0.91,0.96,,,,213.283,Gas Giant
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.59,0.09,,1366.669,,,,,,1.14,,,,844.061,Gas Giant
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,0.6,2.9,,5403.11,,,,,,1.14,,,,844.061,Gas Giant
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,0.0,0.0417,14.572,718.2958,,,F8 IV,6200.0,1.95,1.29,0.0,[Fe/H],3.7,,Gas Giant
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.077,0.092,4.88,12.2,,885.0,G3 V,5939.0,1.14,1.1,0.17,[Fe/H],4.36,627.158,Neptune-like
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,0.16,0.048,11.77,889.9,,1660.0,G0 V,5900.0,1.61,1.14,0.05,[Fe/H],4.3,1060.97,Gas Giant
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.0,0.056,3.7,5.7,,1070.0,K1 V,4950.0,0.86,0.91,0.3,[Fe/H],4.55,591.555,Neptune-like
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.0,0.098,5.0,28.0,,850.0,K1 V,4950.0,0.86,0.91,0.3,[Fe/H],4.55,591.555,Neptune-like
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,0.0,0.0578,12.11,85.81,,1330.0,F9,6040.0,1.19,1.09,-0.01,[Fe/H],4.31,1103.48,Gas Giant
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,0.0,0.0526,14.12,165.26,,1600.0,G5,5590.0,1.79,1.09,0.01,[Fe/H],3.99,1045.18,Gas Giant
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,0.065,0.0476,11.287,3302.11,,1500.0,G2,5900.0,1.08,1.05,-0.1,[M/H],4.4,1010.28,Gas Giant
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.047,0.0603,10.705,153.82972,,,G8/9 IV,5150.0,1.78,1.01,0.15,[Fe/H],3.6,766.183,Gas Giant
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.082,0.0386,10.088,270.1555,,,K0 V,5260.0,0.9,0.97,0.2,[Fe/H],4.3,806.507,Gas Giant
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,0.0,,11.32,6883.91,,,F3 V,6740.0,1.56,1.37,,,4.22,768.771,Gas Giant
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005,0.007,0.0844,11.31,921.707,,,G3 V,5650.0,0.91,0.98,0.02,[Fe/H],4.4,1032.23,Gas Giant
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,4.62941,0.02,0.0586,16.365,266.9772,,,G2 IV,5700.0,2.15,1.25,0.0,[Fe/H],3.85,2005.76,Gas Giant
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,3.22748,0.0,0.0429,18.831,349.61125,,1747.0,F6 V,6390.0,1.65,1.01,-0.5,[Fe/H],4.01,1123.21,Gas Giant
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,5.616531,0.0,0.066,15.805,216.12332,,1567.0,F3 V,6730.0,1.52,1.32,-0.1,[Fe/H],4.16,925.958,Gas Giant
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,0.0,0.09,13.34,228.83,,1074.0,,6190.0,1.17,1.16,,,4.41,726.412,Gas Giant
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,0.09,0.04947,15.558,148.42,,1438.0,F9 V,6100.0,1.19,1.0,-0.25,[M/H],4.19,882.472,Gas Giant
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,0.1,0.0855,13.068,940.74,,1017.0,F9 V,6090.0,1.02,1.05,-0.2,[Fe/H],4.43,645.294,Gas Giant
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0.85359163,0.0,,1.681,4.07661,,,,5275.0,0.83,0.82,0.05,[Fe/H],4.5,159.906,Super Earth
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,3.698,0.0,0.046,,8.4,,,,5256.0,0.86,0.9,0.06,[M/H],4.52,159.906,Neptune-like
CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,8.966,,,,17.142,,,G9 V,5250.0,,0.92,,,,159.906,Neptune-like
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.0,0.063,6.39,69.92,,,K1 V,5080.0,0.77,0.88,0.3,[M/H],4.58,322.037,Gas Giant
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,0.133,0.4021,11.949,266.9772,,420.0,,5625.0,0.96,0.96,-0.01,[Fe/H],4.54,412.98,Gas Giant
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837,,0.071,6.389,47.6745,132.26,938.0,G0 VI,5970.0,0.79,1.08,0.0,[Fe/H],4.67,576.683,Gas Giant
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.1,0.0,5.75,,3823.2733,,,,,,0.51,,,,30.5225,Gas Giant
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,0.345,0.36,,9057.77,,,L1.5,,,0.07,,,,,Gas Giant
DH Tau b,DH Tau,1,1,Imaging,2004,,,330.0,,3496.0,,,M0.5,,0.27,0.33,,,,134.846,Gas Giant
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57,0.083,0.1462,,24.27,,877.0,F8 V,6196.0,1.26,1.21,,,4.41,62.5388,Neptune-like
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.584,0.057,0.0733,,9.6,,1239.0,F8 V,6196.0,1.26,1.21,,,4.41,62.5388,Neptune-like
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,0.07,0.0422,,3.35,,1632.0,F8 V,6196.0,1.26,1.21,,,4.41,62.5388,Super Earth
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.516,0.07,0.0651,,4.13,,1314.0,F8 V,6196.0,1.26,1.21,,,4.41,62.5388,Super Earth
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.2072,0.078,0.0664,,138.89171,,1000.0,F5 V,6500.0,1.78,1.44,,,4.1,137.94,Gas Giant
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.6732,0.14,0.0662,,2.58,,854.0,K0 V,5138.0,0.91,0.87,0.18,[Fe/H],4.3,45.23,Super Earth
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.0,0.39,8.19,,1922.79,,,,,,0.69,,,,305.684,Gas Giant
DS Tuc A b,DS Tuc A,2,1,Transit,2019,8.138268,0.0,,5.7,,,850.0,G6 V,5428.0,0.96,1.01,0.0,,,44.0622,Neptune-like
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,6.7987,0.0,0.0349,1.047,,,,,3648.0,0.28,0.29,-0.048,[Fe/H],5.0,,Super Earth
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,28.1656,,,1.87,,,,,,,0.41,,,,159.259,Super Earth
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0.72091,,,1.5,,,,,5633.0,0.94,,-0.053,[Fe/H],4.4,706.391,Super Earth
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,2.13174,,,0.692,,,,,,,0.78,,,,253.026,Terrestrial
EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,0.877214,,,1.3,,,,,5820.0,0.93,,-0.01,[Fe/H],4.6,232.1,Super Earth
EPIC 201615463 c,K2-166,1,2,Transit,2019,3.80464,,,1.22,,,,,,,1.07,,,,476.882,Super Earth
EPIC 201754305 d,K2-16,1,3,Transit,2019,2.71578,,,1.03,,,,,,,0.67,,,,334.967,Super Earth
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,2.0478,0.0,0.0296,0.908,,,,,4520.0,0.66,0.73,-0.003,[Fe/H],4.66,,Terrestrial
EPIC 201833600 c,K2-50,1,2,Transit,2019,3.96151,,,1.0,,,,,,,0.61,,,,257.443,Terrestrial
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,4.1698,,0.035,1.04,,,,,5053.0,0.63,0.8,0.0,[Fe/H],4.59,436.488,Super Earth
EPIC 205950854 c,K2-168,1,2,Transit,2019,8.050722,,,1.31,,,961.0,,5502.7,0.83,0.88,,,,243.935,Super Earth
EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,4.50756,,,1.7,,,,,,,0.93,,,,369.888,Super Earth
EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,0.911724,,,1.4,,,,,5724.0,1.1,,-0.22,[Fe/H],4.5,369.888,Super Earth
EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,14.647531,,,2.6,,,,,5724.0,1.1,,-0.22,[Fe/H],4.5,369.888,Neptune-like
EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,2.87814,,,1.01,,,,,,,0.22,,,,161.365,Super Earth
EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,5.2986,,,1.7,,,,,4114.0,0.5,,0.006,[Fe/H],4.8,451.769,Super Earth
EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,0.354884,,,1.2,,,,,4114.0,0.5,,0.006,[Fe/H],4.8,451.769,Super Earth
EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,2.255436,,,1.0,,,,,3297.0,0.25,,-0.33,[Fe/H],4.9,109.888,Terrestrial
EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,1.58252,,,0.96,,,,,,,0.71,,,,314.35,Terrestrial
EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,17.515472,,,2.094,,,,,4752.0,0.76,0.83,0.019,[Fe/H],4.6,314.35,Super Earth
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,21.1701963,,0.1195,1.92,,,431.0,,4057.0,0.58,0.62,0.2,[Fe/H],4.7,186.197,Super Earth
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,19.49221,,0.1493,5.76,,,817.0,,6069.0,1.39,1.17,0.1,[Fe/H],4.22,181.69,Neptune-like
EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,2.289363,,,1.48,,,1149.0,,5171.0,0.8,0.83,-0.03,[Fe/H],4.55,418.395,Super Earth
EPIC 212297394 c,EPIC 212297394,1,2,Transit,2016,5.213965,,,2.27,,,866.0,,5171.0,0.8,0.83,-0.03,[Fe/H],4.55,418.395,Neptune-like
EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,18.0983,,,2.17,,,,,,,1.11,,,,611.804,Neptune-like
EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,34.885,,,1.6,,,,,,,0.91,,,,283.29,Super Earth
EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,15.28078,,,1.26,,,756.0,,6004.0,0.98,0.99,-0.18,[Fe/H],4.45,320.07,Super Earth
EPIC 212587672 c,EPIC 212587672,1,2,Transit,2016,23.228555,,,2.32,,,658.0,,6004.0,0.98,0.99,-0.18,[Fe/H],4.45,320.07,Neptune-like
EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,0.578657,,,1.2,,,,,5765.0,0.93,,-0.39,[Fe/H],4.4,561.929,Super Earth
