pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
K2-107 b,K2-107,1,1,Transit,2017,3.313959,,0.0475,15.98,,,1649.0,,6061.0,1.81,1.3,0.14,[Fe/H],4.04,685.2,Gas Giant
K2-108 b,K2-108,1,1,Transit,2017,4.733999,,0.0581,5.33,,,1360.0,,5599.0,1.76,1.17,0.36,[Fe/H],4.02,477.295,Gas Giant
K2-11 b,K2-11,1,1,Transit,2015,39.93767,,0.2257,7.55,,,734.0,,5433.0,5.15,1.35,-0.12,[Fe/H],,329.309,Gas Giant
K2-110 b,K2-110,1,1,Transit,2017,13.86387,,0.1027,2.56,,,575.0,,4950.0,0.71,0.75,-0.21,[Fe/H],4.61,116.474,Super Earth
K2-111 b,K2-111,1,2,Transit,2017,5.3518,0.13,0.057,1.82,5.29,,,G2,5775.0,1.25,0.84,-0.46,[Fe/H],4.25,200.394,Super Earth
K2-111 c,K2-111,1,2,Radial Velocity,2020,15.6785,0.07,0.1166,,11.3,,,G2,5775.0,1.25,0.84,-0.46,[Fe/H],4.25,200.394,Neptune-like
K2-113 b,K2-113,1,1,Transit,2017,5.817685,,0.0642,12.14,,,1098.0,,5660.0,1.24,1.04,0.27,[Fe/H],4.27,635.722,Gas Giant
K2-114 b,K2-114,1,1,Transit,2017,11.3909311,0.081,0.0943,10.447,638.8351,40.0,701.0,,4920.0,0.82,0.86,0.41,[Fe/H],4.54,475.758,Gas Giant
K2-115 b,K2-115,1,1,Transit,2017,20.272615,,0.143,12.06,,,619.0,,5657.0,0.88,0.95,-0.1,[Fe/H],4.53,413.591,Gas Giant
K2-116 b,K2-116,1,1,Transit,2017,4.655411,0.06,0.048,0.69,,78.6,,,4348.35,0.67,0.69,,,,49.3855,Terrestrial
K2-117 b,K2-117,1,2,Transit,2017,1.2916,,0.0189,2.03,,,868.0,,3778.0,0.51,0.54,-0.05,[Fe/H],4.75,101.632,Super Earth
K2-117 c,K2-117,1,2,Transit,2017,5.444017,,0.0492,2.06,,,537.0,,3778.0,0.51,0.54,-0.05,[Fe/H],4.75,101.632,Super Earth
K2-118 b,K2-118,1,1,Transit,2017,50.92092,0.2,0.245,2.54,,4.3,,,4726.29,0.73,0.76,,,,321.722,Neptune-like
K2-119 b,K2-119,1,1,Transit,2017,7.727283,,0.0698,2.53,,,666.0,,4740.0,0.71,0.76,-0.05,[Fe/H],4.62,365.581,Neptune-like
K2-12 b,K2-12,1,1,Transit,2015,8.28212,,0.0802,2.33,,,1003.0,,5800.0,1.01,1.01,0.03,[Fe/H],,326.381,Neptune-like
K2-120 b,K2-120,1,1,Transit,2017,9.562742,0.14,0.078,2.01,,35.1,,,4349.9,0.67,0.69,,,,,Super Earth
K2-121 b,K2-121,1,1,Transit,2017,5.1857539,,0.0629,7.52,,,738.0,,4690.0,0.67,0.69,-0.16,[Fe/H],4.63,169.398,Gas Giant
K2-122 b,K2-122,2,1,Transit,2017,2.2193023,,0.0373,1.16,,,769.0,,4009.0,0.59,0.63,0.32,[Fe/H],4.69,72.0444,Super Earth
